Posted Date,Letter Issue Date,Company Name,Issuing Office,Subject,Response Letter,Closeout Letter
12/06/2021,12/06/2021,Honest Living Vape Shoppe & Apothecary,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
11/30/2021,11/18/2021,Saffron Health Sciences,Division of Human and Animal Food Operations East II,New Drug/Misbranded,,02/15/2022
11/30/2021,11/18/2021,Invacare Corporation,Center for Devices and Radiological Health,CGMP/QSR/Medical Devices/Adulterated,,08/24/2023
11/30/2021,11/30/2021,Desert Vapors LLC,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
12/01/2021,12/01/2021,Yogi's Vape Lounge,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
11/30/2021,11/30/2021,KC Vape LLC,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
11/30/2021,11/30/2021,Tampa Vapor Inc.,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
09/07/2021,08/04/2021,Garden Fresh Market,Division of Northern Border Imports,Foreign Supplier Verification Program (FSVP),,
11/30/2021,11/29/2021,"The Zen Vaper E-Liquids, LLC",Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
12/01/2021,12/01/2021,E Cig Zone Inc,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
09/07/2021,08/16/2021,Akshar Sales LLC,Division of West Coast Imports,Foreign Supplier Verification Program (FSVP),,
10/05/2021,09/22/2021,Ardil Comercial S.R.L.,Center for Drug Evaluation and Research | CDER,CGMP/Finished Pharmaceuticals/Unapproved New Drug/Misbranded/Adulterated,,
10/05/2021,09/17/2021,Walfer Corporation dba The Medicine Shoppe Pharmacy,"Office of Pharmaceutical Quality Operations, Division II",Compounding Pharmacy/Adulterated Drug Products,,09/26/2022
10/05/2021,02/02/2021,Marci Beauty LLC,Center for Devices and Radiological Health,Investigational Device Exemptions (IDE)/Premarket Approval Application (PMA) Adulterated Device,,
10/05/2021,09/29/2021,Healthy Foods & Nutrition Lab de Mexico S.A. de C.V.,Center for Drug Evaluation and Research | CDER,Unapproved New Drugs/Misbranded,,
10/05/2021,09/20/2021,"ICA Health, LLC/Future Formulations, LLC",Office of Human and Animal Foods Operations – Division West 4,New Drug/Misbranded,,10/24/2023
10/05/2021,09/29/2021,"True Chemical Solutions, LLC",Center for Drug Evaluation and Research | CDER,Failure to Permit Access to or Copying of Records,,
07/20/2021,07/12/2021,"Beeyoutiful.com, LLC",Office of Human and Animal Food Operations-East,New Drug/Misbranded,,06/10/2022
07/20/2021,07/08/2021,Delta Kozmetik Sanayi Ve Ticaret-Selim Yesil,Center for Drug Evaluation and Research,CGMP/Finished Pharmaceuticals/Adulterated,,
07/27/2021,07/19/2021,MasterPharm LLC,Division of Pharmaceutical Quality Operations I,Compounding Pharmacy/Adulterated Drug Products,,
07/27/2021,06/08/2021,South Florida Import & Export Corp,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
07/21/2021,07/20/2021,Jordan’s Crossing Herbal Connections,Center for Drug Evaluation and Research,Unapproved and Misbranded Products Related to Coronavirus Disease 2019 (COVID-19),,
07/22/2021,07/22/2021,K&D Vapors,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,09/13/2024
07/16/2021,07/16/2021,Vaporistic Bayville,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
07/20/2021,06/25/2021,Guillermo Osuna,Division of Southwest Imports,Foreign Supplier Verification Program (FSVP),,
07/23/2021,07/23/2021,Vapor Amor,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
07/23/2021,07/23/2021,Trekker Vapors LLP,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
07/20/2021,07/07/2021,"Panjin Hetian Food Co., Ltd.",Center for Food Safety and Applied Nutrition,"CGMP Food/Prepared, Packed or Held Under Insanitary Conditions/Adulterated  ",,
07/16/2021,07/16/2021,Rave Salon Inc. d/b/a Joosie Vapes,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
07/16/2021,07/16/2021,Vapor State LLC,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
07/20/2021,06/30/2021,Dry Produce Division USA LLC,Division of Southwest Imports,Foreign Supplier Verification Program (FSVP),,
08/11/2021,08/10/2021,Secret of the Islands,Center for Drug Evaluation and Research,Unapproved and Misbranded Products Related to Coronavirus Disease 2019 (COVID-19),,
08/10/2021,07/20/2021,Chill6,Office of Human and Animal Food Operations East – Division 1,Unapproved New Drugs/Misbranded,,
08/10/2021,07/26/2021,"Vivera Pharmaceuticals, Inc.",Center for Devices and Radiological Health,Adulterated and Misbranded Products Related to Coronavirus Disease 2019 (COVID-19),,
02/13/2024,02/09/2024,Pt Dua Kelinci,Center for Food Safety and Applied Nutrition,"CGMP/Food/Prepared, Packed or Held Under Insanitary Conditions/Adulterated",,
03/12/2024,03/06/2024,Sen Up Huat Seafood Trading Sdn Bhd,Center for Food Safety and Applied Nutrition,Seafood HACCP/CGMP for Foods/Adulterated/Insanitary Conditions,,
06/05/2025,06/05/2025,"Vape Hut, LLC d/b/a Vape Hut Kratom-CBD",Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
06/05/2025,06/05/2025,"Daddy’s Vapor Distro, Inc., d/b/a DV Brands",Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
07/09/2024,06/03/2024,Choo's Enterprises Ltd,Center for Food Safety and Applied Nutrition (CFSAN),Acidified Foods/Emergency Permit Control/Adulterated,,06/03/2025
06/03/2025,05/30/2025,thesmokeplug.com,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
06/10/2025,05/30/2025,Bio Wellness 444 LLC,Center for Drug Evaluation and Research (CDER),Unapproved New Drugs/Misbranded,,
06/10/2025,05/29/2025,"Amish Origins Management, LLC",Center for Drug Evaluation and Research (CDER),CGMP/Finished Pharmaceuticals/Adulterated,,
06/10/2025,05/29/2025,Laboratoire Druide Inc.,Center for Drug Evaluation and Research (CDER),CGMP/Finished Pharmaceuticals/Adulterated,,
06/10/2025,05/29/2025,"Sprout Pharmaceuticals, Inc.",The Office of Prescription Drug Promotion (OPDP),False & Misleading Claims/Misbranded,,
06/10/2025,04/30/2025,"American Behavioral Research Institute, LLC",Center for Drug Evaluation and Research (CDER),Clinical Investigator (Sponsor),,
06/10/2025,06/06/2025,ejuicevapedistro.com,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
06/10/2025,01/02/2025,Gongora USA Corp,Division of Southwest Imports,Foreign Supplier Verification Program (FSVP),,
08/10/2021,08/10/2021,Vaperz Cedar Park,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,09/20/2024
06/24/2025,04/22/2025,"M.O.M. Enterprises, LLC",Human Foods Program,CGMP/Dietary Supplement/Adulterated/Misbranded,,
06/24/2025,06/05/2025,Sterling Distributors,Center for Drug Evaluation and Research (CDER),Drug Supply Chain Security Act (DSCSA) Violations,,
06/24/2025,05/21/2025,"Aju Pharm Co., Ltd.",Center for Devices and Radiological Health,CGMP/QSR/Medical Devices/Adulterated,,
06/24/2025,06/13/2025,www.soma4ever.com,Center for Drug Evaluation and Research (CDER),Unlawful Sale of Unapproved and Misbranded Drugs to United States Consumers Over the Internet,,
06/24/2025,05/05/2025,www.peacefulmeds.com,Center for Drug Evaluation and Research (CDER),Unlawful Sale of Unapproved and Misbranded Drugs to United States Consumers Over the Internet,,
06/24/2025,06/16/2025,Pushclean Technology Plastik Sanayi Ve Ticaret Ltd. Sirketi,Center for Drug Evaluation and Research (CDER),CGMP/Finished Pharmaceuticals/Adulterated,,
09/13/2024,09/12/2024,Mery Vape,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
09/13/2024,09/12/2024,Shenzhen Greensound High-Tech Co. Ltd. d/b/a ENVA,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
09/13/2024,09/12/2024,"FUNCOOL Technology Co., Limited d/b/a RAZ Vape",Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
09/13/2024,09/12/2024,Quad Life USA Inc.,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
09/13/2024,09/12/2024,Mr Fog Switch,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
09/13/2024,09/12/2024,MR FOG d/b/a MR FOG Officials,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
09/13/2024,09/12/2024,"Beard Management Inc. d/b/a Beard Vape Co. d/b/a Lucky Bar Holdings, d/b/a Fifty Bar",Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
09/13/2024,09/12/2024,SS Vape Brands Inc. d/b/a Monster Vape Labs d/b/a The Monster Group,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
09/13/2024,09/12/2024,Sweet TSV 1 d/b/a Sweet Vape Shop,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
09/13/2024,09/12/2024,"Bugatti Vape, LLC",Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
09/13/2024,09/12/2024,Breeze Smoke Official,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
06/24/2025,05/28/2025,Marin Baking LLC,Human Foods Program,"CGMP/Food/Prepared, Packed or Held Under Insanitary Conditions/Adulterated",,
06/24/2025,04/07/2025,"Revolution Foods, PBC",Human Foods Program,Food Labeling/Misbranded,,
06/24/2025,01/16/2025,Yongdae Hwangtae Union Corp Daeryung,Human Foods Program,Seafood HACCP/CGMP for Foods/Adulterated/Insanitary Conditions,,
08/25/2020,07/29/2020,Fides Ny Inc,Division of Northeast Imports,Foreign Supplier Verification Program (FSVP),,04/28/2025
04/28/2025,04/17/2025,Ecig Charleston LLC,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
04/28/2025,04/24/2025,Vanity Vapor,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
04/29/2025,04/14/2025,"Cosco International, Inc.",Center for Drug Evaluation and Research (CDER),CGMP/Finished Pharmaceuticals/Adulterated/Misbranded,,
04/29/2025,04/09/2025,"Dyno Manufacturing, Inc.",Center for Drug Evaluation and Research (CDER),CGMP/Finished Pharmaceuticals/Adulterated,,
04/29/2025,04/09/2025,BEO Pharma Inc. dba BEO Pharmaceuticals Inc.,Center for Drug Evaluation and Research (CDER),CGMP/Finished Pharmaceuticals/Adulterated,,
04/29/2025,04/07/2025,"Bailey’s Wellness, LLC dba Bailey’s CBD",Center for Veterinary Medicine,Unapproved New Animal Drug Products,,
04/29/2025,04/18/2025,snusme.com,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
04/29/2025,04/10/2025,athleticnicotine.com,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
04/29/2025,04/17/2025,"Amazon.com, Inc.",Center for Drug Evaluation and Research (CDER),Unapproved New Drugs/Misbranded,,
04/29/2025,04/10/2025,nykdpouches.com,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
04/29/2025,04/02/2025,nikkdripsretail.com,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
05/06/2025,03/14/2025,Country Favor Inc.,Division of Northeast Imports,Foreign Supplier Verification Program (FSVP),,
05/06/2025,04/25/2025,esmokeronline.com,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
05/13/2025,04/02/2025,"Taizhou Jingshang Cosmetics Technology Co., Ltd.",Center for Drug Evaluation and Research (CDER),CGMP/Finished Pharmaceuticals/Adulterated,,
05/27/2025,05/13/2025,"AACE Pharmaceuticals, Inc.",Center for Drug Evaluation and Research (CDER),CGMP/Finished Pharmaceuticals/Adulterated,,
05/27/2025,05/16/2025,vaporhatch.com,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
05/27/2025,05/15/2025,"Black Note, Inc.",Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
05/27/2025,05/06/2025,"Shenzhen Hengkaifeng Commerce and Trade Co., Ltd",Center for Drug Evaluation and Research (CDER),Failure to List/Misbranded,,
03/05/2021,03/04/2021,Westminster International Ltd,Center for Devices and Radiological Health,Adulterated and Misbranded Products Related to Coronavirus Disease 2019 (COVID-19),,03/31/2025
04/01/2025,02/21/2025,Next Science LLC,Center for Devices and Radiological Health,Investigational Device Exemptions (IDE)/Premarket Approval Application (PMA),,
04/01/2025,03/21/2025,chiefcottonmouth.com,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
04/01/2025,03/21/2025,thejuicewarehouse.co.uk,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
03/18/2025,03/13/2025,thefinesteliquid.com,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
04/15/2025,04/10/2025,"JSS Retail, LLC, d/b/a Kure CBD & Vape",Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
04/15/2025,04/10/2025,Northwest Freedom Vape LLC d/b/a Northwest Freedom Vape,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
04/15/2025,04/10/2025,"Bahamn, Inc d/b/a E-Cig Warehouse",Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
04/15/2025,04/10/2025,You Suck Vapes & CBD,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
04/22/2025,04/02/2025,"Empower Clinic Services, LLC dba Empower Pharma",Center for Drug Evaluation and Research (CDER),Compounding Pharmacy/Adulterated Drug Products,,
04/22/2025,04/09/2025,Noah Medical Corporation,Center for Devices and Radiological Health,CGMP/QSR/Manufacture/Packing/Storage/Installation/Adulterated,,
04/22/2025,04/11/2025,Livestock Nutrition Center,Center for Veterinary Medicine,CGMP/Non-Medicated Feed/Adulterated,,
04/22/2025,04/04/2025,ICU Medical,Center for Devices and Radiological Health,CGMP/QSR/Medical Devices/PMA/Adulterated/Misbranded,,
04/22/2025,04/11/2025,hoosierecig.com,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
05/16/2025,05/15/2025,"ECIGRUSA LLC, d/b/a Worldwide Vape Distribution",Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
05/06/2025,04/28/2025,"Nana Barseghian, M.D.",Center for Drug Evaluation and Research (CDER),Clinical Investigator,,
05/16/2025,05/15/2025,Wise Guys Vapes,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
05/16/2025,05/15/2025,Madvapes Vape Shop,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
05/16/2025,05/15/2025,Kure CBD & Vape,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
05/16/2025,05/15/2025,Kure CBD & Vape,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
05/21/2025,05/09/2025,Kabe Labortechnik GmbH,Center for Devices and Radiological Health,CGMP/QSR/Medical Devices/Adulterated,,
05/21/2025,12/26/2024,"Baldwin Richardson Foods Pennsauken, LLC",Human Foods Program,Low Acid Canned Food Regulation/Adulterated,,
04/29/2025,03/28/2025,"Prodose, Inc. formerly known as Spirit Pharmaceuticals LLC",Center for Drug Evaluation and Research (CDER),Electronic Drug Registration and Listing System (eDRLS)/Violations,,05/22/2025
05/27/2025,03/31/2025,DRG Instruments GmbH,Center for Devices and Radiological Health,Investigational Device Exemptions (IDE)/Premarket Approval Application (PMA) Adulterated Device,,
05/27/2025,12/20/2024,Golden Grains Bakery,Human Foods Program,CGMP/Hazard Analysis/Risk-Based Preventive Controls for Food/Adulterated,,
05/27/2025,05/05/2025,Sedecal S.A.,Center for Devices and Radiological Health,CGMP/QSR/Medical Devices/Adulterated,,
05/27/2025,12/26/2024,Reunipeche SAS,Human Foods Program,Seafood HACCP/CGMP for Foods/Adulterated,,
05/27/2025,12/23/2024,Rey de los Camarones S. A.,Human Foods Program,Seafood HACCP/CGMP for Foods/Adulterated,,
05/27/2025,05/16/2025,vapordna.com,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
05/27/2025,05/02/2025,San Juan Produce LLC,Office of Inspections and Investigations,Foreign Supplier Verification Program (FSVP),,
05/27/2025,05/06/2025,"Wailea Agricultural Group, Inc.",Human Foods Program,"CGMP/Food/Prepared, Packed or Held Under Insanitary Conditions/Adulterated",,
05/27/2025,05/22/2025,Artisan Vapor Company,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
05/27/2025,05/22/2025,Kure CBD & Vape,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
09/11/2024,09/10/2024,Sanitation & Environmental Technology Institute dba SDWH,Center for Devices and Radiological Health,Investigational Device Exemptions (IDE)/Premarket Approval Application (PMA),,
09/17/2024,08/12/2024,"Greco Gas, Inc.",Office of Pharmaceutical Quality,CGMP/Finished Pharmaceuticals/Adulterated,,
09/17/2024,09/09/2024,EnviroServe Chemicals & Cleaners Ltd.,Center for Drug Evaluation and Research (CDER),CGMP/Finished Pharmaceuticals/Adulterated/Unapproved New Drug/Misbranded,,
08/20/2024,08/12/2024,Virtue Vapes,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
10/06/2020,09/24/2020,"LEC Custom Products, Inc.",Center for Drug Evaluation and Research | CDER,CGMP/Finished Pharmaceuticals/Adulterated,,06/26/2025
06/23/2025,06/18/2025,Performance Plus Marketing Inc.,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
05/20/2025,11/01/2024,"Yeshua Bendito, C.A.",Human Foods Program,Seafood HACCP/CGMP for Foods/Adulterated/Insanitary Conditions,,06/23/2025
08/06/2024,08/01/2024,Guangzhou Baiyunshan Jingxiutang Pharmaceutical Co. Ltd.,Center for Drug Evaluation and Research (CDER),CGMP/Finished Pharmaceuticals/Adulterated,,
08/06/2024,07/23/2024,Omega Tech Labs LLC,Division of Pharmaceutical Quality Operations IV,CGMP/Finished Pharmaceuticals/Adulterated/Unapproved New Drug,,
08/20/2024,08/15/2024,Eugia Pharma Specialities Limited,Center for Drug Evaluation and Research (CDER),CGMP/Finished Pharmaceuticals/Adulterated,,
08/15/2024,08/09/2024,AUSTROFOOD S.A.S.,Center for Food Safety and Applied Nutrition (CFSAN),"CGMP/Food/Prepared, Packed or Held Under Insanitary Conditions/Adulterated",,
08/20/2024,08/15/2024,Intercos Europe S.p.A,Center for Drug Evaluation and Research (CDER),CGMP/Finished Pharmaceuticals/Adulterated,,
08/06/2024,07/08/2024,"High Quality Organics, Inc.",Division of Human and Animal Food Operations West V,"CGMP/Food/Prepared, Packed or Held Under Insanitary Conditions/Adulterated",,
08/06/2024,07/17/2024,Velocity Pharma LLC,Center for Drug Evaluation and Research (CDER),CGMP/Finished Pharmaceuticals/Adulterated,,
08/13/2024,07/24/2024,Txsyn Int. LLC,Division of Human and Animal Food Operations West III,"CGMP/Manufacturing, Packaging, Labeling, or Holding Operations for Dietary Supplements/Adulterated",,
08/22/2023,08/16/2023,"King Systems Corp. dba Ambu, Inc.",Center for Devices and Radiological Health,CGMP/QSR/Medical Devices/PMA/Adulterated/Misbranded,,06/16/2025
12/31/2024,12/23/2024,"Guangzhou Sinocon Food Co., Ltd",Human Foods Program,"CGMP/Food/Prepared, Packed or Held Under Insanitary Conditions/Adulterated",,
06/17/2025,06/10/2025,www.buyprosoma.com,Center for Drug Evaluation and Research (CDER),Unlawful Sale of Unapproved and Misbranded Drugs to United States Consumers Over the Internet,,
06/17/2025,05/05/2025,www.buycodeine.us,Center for Drug Evaluation and Research (CDER),Unlawful Sale of Unapproved and Misbranded Drugs to United States Consumers Over the Internet,,
06/17/2025,06/03/2025,Zest US Wholesale Inc.,Division of West Coast Imports,Foreign Supplier Verification Program (FSVP),,
06/17/2025,06/06/2025,Xin Ao International Group Corp.,Division of Northeast Imports,Foreign Supplier Verification Program (FSVP),,
06/17/2025,06/04/2025,www.bigpharmausa.com,Center for Drug Evaluation and Research (CDER),Notice of Unlawful Sale of Unapproved Drugs to United States Consumers Over the Internet,,
06/17/2025,04/23/2025,www.24hreup.biz,Center for Drug Evaluation and Research (CDER),Notice of Unlawful Sale of Unapproved Drugs to United States Consumers Over the Internet,,
06/17/2025,06/13/2025,lousquare.com,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
09/03/2024,08/30/2024,"100Misterios, LDA",Center for Food Safety and Applied Nutrition,Seafood HACCP/CGMP for Foods/Adulterated/Insanitary Conditions,,
05/14/2024,05/01/2024,Ogura Shokuhin Co. Ltd.,Center for Food Safety and Applied Nutrition,Seafood HACCP/CGMP for Foods/Adulterated/Insanitary Conditions,,
08/29/2024,08/29/2024,"Favorite Daughter, LLC d/b/a Phoenix Vapor Shop",Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
09/03/2024,08/14/2024,"Graceleigh, Inc. dba Sammy’s Milk",Division of Human and Animal Food Operations West V,Food Labeling/Misbranded,,
08/20/2024,07/31/2024,P&L Bean Sprout Farm,Division of Human and Animal Food Operations East II,Food/Prepared Packed or Held Under Insanitary Conditions/Adulterated,,
08/07/2024,08/06/2024,Alohma LLC d/b/a Kure CBD & Vape,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
08/06/2024,07/16/2024,La Parcela Produce LLC,Division of Northern Border Imports,Foreign Supplier Verification Program (FSVP),,
08/29/2024,08/29/2024,Vape On LLC d/b/a Imperial Vapor Co.,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
08/20/2024,08/15/2024,Media Networks Sydney Pty Limited,Center for Drug Evaluation and Research (CDER),Failure to Register and List,,09/23/2024
06/03/2025,03/27/2025,Yiling Pharmaceutical Ltd.,Center for Drug Evaluation and Research (CDER),CGMP/Finished Pharmaceuticals/Adulterated,,
06/03/2025,05/16/2025,denverelectroniccigarettes.com,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
05/21/2024,05/16/2024,Swity d.o.o.,Center for Food Safety and Applied Nutrition,Acidified Foods/Emergency Permit Control/Adulterated/Misbranded,,06/03/2025
06/03/2025,03/25/2025,Latro Inc.,Human Foods Program,Adulterated Human Foods/Misbranded,,
06/03/2025,04/21/2025,"Amore Produce, LLC",Center for Tobacco Products,Foreign Supplier Verification Program (FSVP),,
06/03/2025,05/14/2025,Evi Labs LLC,Center for Drug Evaluation and Research (CDER),CGMP/Finished Pharmaceuticals/Adulterated,,
06/03/2025,12/26/2024,Kingdom Creamery of Vermont LLC,Human Foods Program,CGMP/Hazard Analysis/Risk-Based Preventive Controls for Food/Adulterated,,
06/03/2025,03/28/2025,"Mother Earth Minerals, Inc.",Human Foods Program,Unapproved New Drugs/Misbranded,,
06/03/2025,03/07/2025,United King Foods Private Limited,Human Foods Program,Low Acid Canned Food Regulation/Adulterated,,
06/03/2025,05/14/2025,"Zhejiang Easyclean Daily Chemical Co., Ltd",Center for Drug Evaluation and Research (CDER),CGMP/Finished Pharmaceuticals/Adulterated,,
06/03/2025,03/24/2025,"Huangshi Hygienic Material Medicine Co., Ltd.",Center for Drug Evaluation and Research (CDER),CGMP/Finished Pharmaceuticals/Adulterated,,
06/03/2025,03/19/2025,"Jack & The Green Sprouts, Inc.",Human Foods Program,Food/Prepared Packed or Held Under Insanitary Conditions/Adulterated,,
06/03/2025,05/23/2025,ktownvaporlounge.com,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
06/03/2025,04/30/2025,Rechon Life Science AB,Center for Drug Evaluation and Research (CDER),CGMP/Finished Pharmaceuticals/Adulterated,,
06/03/2025,05/20/2025,One Roof LLC,Human Foods Program,CGMP/Hazard Analysis/Risk-Based Preventive Controls for Food/Adulterated,,
06/03/2025,05/22/2025,"Milo’s Poultry Farms, LLC",Human Foods Program,PHS Act/Shell Egg Regulation/Adulterated,,
06/03/2025,05/19/2025,"CTK OTC Laboratories LLC formerly FMK LABS, Inc.",Center for Drug Evaluation and Research (CDER),CGMP/Finished Pharmaceuticals/Adulterated,,
06/03/2025,04/07/2025,La Milagrosa 1 LLC,Human Foods Program,CGMP/Hazard Analysis/Risk-Based Preventive Controls for Food/Adulterated,,
06/03/2025,04/17/2025,Anti L’Age,Human Foods Program,"CGMP/Manufacturing, Packaging, Labeling, or Holding Operations for Dietary Supplements/Adulterated",,
06/03/2025,03/28/2025,"Everything Sprouts, LLC",Human Foods Program,"CGMP/Food/Prepared, Packed or Held Under Insanitary Conditions/Adulterated",,
06/03/2025,05/29/2025,"Savant Industries, LLC, d/b/a Paradigm Distribution",Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
06/03/2025,05/29/2025,Artisan Vapor Company,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
06/03/2025,05/06/2025,"DFI Co., Ltd.",Center for Devices and Radiological Health,CGMP/QSR/Medical Devices/Adulterated,,
06/03/2025,05/30/2025,vapejuice.com,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
06/03/2025,03/25/2025,"Amy Lightner, MD",Center for Biologics Evaluation and Research,Bioresearch Monitoring Program,,06/03/2025
06/13/2025,06/12/2025,"JT Wood Investments LLC, d/b/a Vape It",Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
06/13/2025,06/12/2025,"Sunset Wholesale Tobacco, Inc.",Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
07/30/2024,07/24/2024,Corporacion Avicola Morovis Inc,Office of Regulatory Affairs,PHS Act/Shell Egg Regulation/Adulterated,,
06/25/2024,06/21/2024,Tamara Fruit CJSC,Center for Food Safety and Applied Nutrition,Juice HACCP/CGMP for Foods/Adulterated/Insanitary Conditions,,
08/20/2024,08/13/2024,Agustson A/S,Center for Food Safety and Applied Nutrition,Seafood HACCP/CGMP for Foods/Adulterated/Insanitary Conditions,,
08/20/2024,08/14/2024,Manabi Export Panama S.A.,Center for Food Safety and Applied Nutrition,Seafood HACCP/CGMP for Foods/Adulterated/Insanitary Conditions,,
06/25/2024,06/21/2024,Raya Green Coconut Co.,Center for Food Safety and Applied Nutrition,Juice HACCP/CGMP for Foods/Adulterated/Insanitary Conditions,,
